"","Miltal","Modellår","Biltyp","Drivning","Hästkrafter","Färg","Märke","Modell","Län","Pris"
"1","1491","2022","halvkombi","2","204","grå","hyundai","kona","kronoberg",349800
"2","9800","2019","sedan","2","120","svart","hyundai","ioniq","västragötaland",144000
"3","6729","2020","suv","4","408","svart","audi","etron","skåne",528900
"4","1270","2022","suv","2","136","röd","hyundai","kona","uppsala",259900
"5","11748","2020","halvkombi","2","136","blå","hyundai","ioniq","örebro",209800
"6","4355","2020","suv","4","408","svart","audi","etron","skåne",548900
"7","6400","2022","suv","2","204","blå","hyundai","kona","örebro",319800
"8","7400","2020","suv","2","204","grå","hyundai","kona","örebro",274800
"9","4998","2020","suv","2","204","grå","hyundai","kona","örebro",289800
"10","3525","2020","suv","2","204","röd","hyundai","kona","örebro",289800
"11","3990","2023","sedan","4","476","svart","audi","etron","blekinge",867000
"12","9975","2019","suv","2","204","mörkgrå","hyundai","kona","blekinge",237000
"13","4045","2022","suv","4","300","grå","audi","q4","kalmar",549900
"14","5100","2021","sedan","2","218","grå","hyundai","ioniq","västragötaland",459900
"15","9100","2022","suv","2","218","svart","hyundai","ioniq","jönköping",419900
"16","4073","2021","suv","4","408","grå","audi","etron","stockholm",534900
"17","4277","2022","suv","2","204","blå","audi","q4","stockholm",478900
"18","10500","2019","suv","4","408","svart","audi","etron","skåne",409800
"19","3520","2021","suv","4","504","svart","audi","etron","västragötaland",719800
"20","9162","2019","suv","4","408","svart","audi","etron","stockholm",425900
"21","3977","2022","suv","4","408","grå","audi","etron","stockholm",626900
"22","3411","2022","suv","2","204","brun","hyundai","kona","stockholm",343900
"23","2289","2022","suv","2","218","grön","hyundai","ioniq","stockholm",439900
"24","2732","2022","suv","2","170","svart","audi","q4","stockholm",386900
"25","5483","2021","suv","4","408","svart","audi","etron","stockholm",494900
"26","1638","2022","suv","2","170","grå","audi","q4","stockholm",391900
"27","3550","2021","suv","4","408","svart","audi","etron","stockholm",497900
"28","9188","2019","suv","4","408","grå","audi","etron","stockholm",384900
"29","7466","2019","halvkombi","2","120","ljusgrå","hyundai","ioniq","stockholm",185900
"30","7735","2020","halvkombi","2","136","vit","hyundai","ioniq","stockholm",208900
"31","7417","2020","suv","4","408","svart","audi","etron","stockholm",414900
"32","5425","2022","suv","4","408","blå","audi","etron","stockholm",620900
"33","7052","2021","suv","4","408","grå","audi","etron","stockholm",503900
"34","2941","2022","suv","4","408","vit","audi","etron","stockholm",628900
"35","5244","2020","suv","4","408","svart","audi","etron","stockholm",433900
"36","5110","2020","suv","2","136","vit","hyundai","kona","stockholm",199900
"37","3478","2022","suv","4","408","grå","audi","etron","stockholm",624900
"38","5244","2022","suv","4","300","svart","audi","q4","stockholm",504900
"39","7367","2022","suv","4","408","grå","audi","etron","stockholm",583900
"40","2998","2023","suv","2","204","grå","audi","q4","stockholm",474900
"41","4373","2021","suv","4","504","silver","audi","etron","stockholm",692900
"42","1950","2022","suv","2","204","svart","hyundai","kona","kalmar",379900
"43","4232","2020","halvkombi","2","136","röd","hyundai","ioniq","stockholm",2e+05
"44","8826","2020","suv","4","408","grå","audi","etron","stockholm",479900
"45","4000","2019","halvkombi","2","120","grå","hyundai","ioniq","örebro",199800
"46","4200","2021","halvkombi","2","150","svart","nissan","leaf","skåne",189000
"47","7880","2022","halvkombi","2","218","vit","nissan","leaf","örebro",279800
"48","610","2023","halvkombi","2","150","mörkblå","nissan","leaf","jönköping",298800
"49","1500","2023","halvkombi","2","150","vit","nissan","leaf","västragötaland",309900
"50","673","2022","halvkombi","2","150","vit","nissan","leaf","östergötland",219900
"51","8227","2014","halvkombi","2","109","silver","nissan","leaf","gotland",109800
"52","605","2023","halvkombi","2","150","mörkblå","nissan","leaf","kronoberg",259800
"53","800","2022","halvkombi","2","150","mörkblå","nissan","leaf","halland",279800
"54","3300","2022","halvkombi","2","150","vit","nissan","leaf","stockholm",184900
"55","6600","2019","halvkombi","2","150","vit","nissan","leaf","norrbotten",179900
"56","11333","2017","halvkombi","2","109","vit","nissan","leaf","skåne",120000
"57","14821","2018","halvkombi","2","150","röd","nissan","leaf","västmanland",159700
"58","1528","2022","halvkombi","2","150","grå","nissan","leaf","stockholm",238900
"59","3234","2021","halvkombi","2","150","vit","nissan","leaf","östergötland",198900
"60","5892","2019","halvkombi","2","150","vit","nissan","leaf","skåne",197800
"61","8491","2021","halvkombi","2","218","röd","nissan","leaf","stockholm",217900
"62","8323","2018","halvkombi","2","150","röd","nissan","leaf","stockholm",159900
"63","2149","2022","halvkombi","2","150","ljusgrå","nissan","leaf","stockholm",210900
"64","8043","2021","halvkombi","2","218","grå","nissan","leaf","stockholm",221900
"65","2826","2022","halvkombi","2","150","röd","nissan","leaf","stockholm",205900
"66","2741","2022","halvkombi","2","150","grå","nissan","leaf","stockholm",205900
"67","7385","2019","halvkombi","2","150","ljusgrön","nissan","leaf","stockholm",184900
"68","4109","2022","halvkombi","2","150","vit","nissan","leaf","stockholm",189900
"69","3158","2022","halvkombi","2","150","vit","nissan","leaf","stockholm",199900
"70","3986","2021","halvkombi","2","150","vit","nissan","leaf","stockholm",181900
"71","4085","2021","halvkombi","2","150","röd","nissan","leaf","stockholm",185900
"72","1927","2022","halvkombi","2","218","grå","nissan","leaf","stockholm",290900
"73","3998","2021","halvkombi","2","150","vit","nissan","leaf","stockholm",181900
"74","3041","2021","halvkombi","2","150","vit","nissan","leaf","stockholm",178900
"75","1504","2022","halvkombi","2","218","grå","nissan","leaf","stockholm",288900
"76","6106","2019","halvkombi","2","150","vit","nissan","leaf","stockholm",176900
"77","2720","2020","halvkombi","2","150","brun","nissan","leaf","jönköping",239900
"78","15536","2020","halvkombi","2","218","mörkgrå","nissan","leaf","stockholm",199900
"79","4468","2021","halvkombi","2","150","svart","nissan","leaf","kalmar",245000
"80","9650","2016","halvkombi","2","109","svart","nissan","leaf","västragötaland",128800
"81","2570","2022","halvkombi","2","150","ljusgrå","nissan","leaf","stockholm",214900
"82","2723","2016","halvkombi","2","109","brun","nissan","leaf","halland",129000
"83","2027","2020","halvkombi","2","150","röd","nissan","leaf","skåne",199900
"84","567","2023","suv","2","221","mörkgrön","nissan","ariya","västerbotten",499900
"85","5310","2020","halvkombi","2","218","vit","nissan","leaf","jönköping",254900
"86","2955","2022","halvkombi","2","150","vit","nissan","leaf","nordvästrasödermanland",209000
"87","2078","2023","suv","2","243","svart","nissan","ariya","stockholm",499900
"88","3440","2021","halvkombi","2","150","röd","nissan","leaf","dalarna",209900
"89","700","2023","suv","2","243","ljusgrå","nissan","ariya","kalmar",599900
"90","950","2023","suv","2","243","blå","nissan","ariya","jönköping",579800
"91","4990","2020","suv","4","313","grå","audi","etron","östergötland",415900
"92","9208","2020","suv","4","313","svart","audi","etron","stockholm",354900
"93","5326","2022","suv","4","408","silver","audi","etron","stockholm",594900
"94","3438","2020","suv","4","408","blå","audi","etron","västragötaland",589800
"95","4937","2020","suv","4","313","svart","audi","etron","västragötaland",399800
"96","500","2023","sedan","2","325","röd","hyundai","ioniq","jönköping",589900
"97","900","2023","sedan","4","325","grå","hyundai","ioniq","jönköping",609900
"98","7200","2019","halvkombi","2","204","orange","hyundai","kona","jönköping",259900
"99","7213","2018","halvkombi","2","120","mörkblå","hyundai","ioniq","uppsala",169400
"100","2133","2021","halvkombi","2","204","vit","hyundai","kona","kronoberg",329800
"101","8649","2017","halvkombi","2","120","silver","hyundai","ioniq","stockholm",177900
"102","2952","2019","halvkombi","2","120","silver","hyundai","ioniq","västragötaland",184000
"103","2070","2021","halvkombi","2","204","röd","hyundai","kona","kalmar",334900
"104","6900","2020","suv","2","204","vit","hyundai","kona","jönköping",269900
"105","4500","2020","suv","4","313","svart","audi","etron","västragötaland",439000
"106","8897","2022","suv","2","218","vit","hyundai","ioniq","kronoberg",419900
"107","1554","2023","suv","2","204","grå","audi","q4","skåne",549000
"108","4000","2021","halvkombi","2","218","grå","hyundai","ioniq","jönköping",459800
"109","1700","2023","sedan","4","325","vit","hyundai","ioniq","jönköping",599900
"110","588","2023","suv","2","229","grön","hyundai","ioniq","västragötaland",549900
"111","5937","2020","halvkombi","2","136","grå","hyundai","ioniq","östergötland",229000
"112","1600","2023","sedan","4","325","blå","hyundai","ioniq","örebro",609900
"113","1600","2023","sedan","4","325","blå","hyundai","ioniq","örebro",599900
"114","1900","2023","suv","4","325","grå","hyundai","ioniq","örebro",548900
"115","700","2024","suv","2","218","grå","hyundai","kona","jönköping",595200
"116","1000","2023","sedan","4","325","svart","hyundai","ioniq","jönköping",660700
"117","2600","2019","halvkombi","2","120","vit","hyundai","ioniq","blekinge",219900
"118","2600","2021","suv","4","408","röd","audi","etron","västragötaland",619000
"119","5656","2019","halvkombi","2","120","blå","hyundai","ioniq","skåne",184500
"120","10283","2020","halvkombi","2","138","vit","hyundai","ioniq","västragötaland",219900
"121","10895","2021","suv","4","408","svart","audi","etron","värmland",439500
"122","500","2023","sedan","2","325","svart","hyundai","ioniq","jönköping",639800
"123","800","2024","suv","2","218","grå","hyundai","kona","kalmar",569900
"124","1400","2023","suv","4","300","svart","audi","q4","västragötaland",605000
"125","2990","2023","sedan","4","325","grå","hyundai","ioniq","västragötaland",634900
"126","600","2023","halvkombi","4","325","grå","hyundai","ioniq","västragötaland",619900
"127","3730","2020","suv","4","408","svart","audi","etron","värmland",459500
"128","600","2024","sedan","4","325","blå","hyundai","ioniq","kalmar",639800
"129","1000","2023","sedan","4","325","vit","hyundai","ioniq","kalmar",599900
"130","1350","2023","sedan","4","325","blå","hyundai","ioniq","jönköping",599900
"131","500","2024","suv","2","218","grå","hyundai","kona","kronoberg",595200
"132","1290","2023","sedan","4","325","vit","hyundai","ioniq","jönköping",609900
"133","9900","2020","suv","2","204","vit","hyundai","kona","västragötaland",259900
"134","800","2024","suv","2","218","vit","hyundai","kona","västragötaland",549900
"135","1500","2023","sedan","4","325","blå","hyundai","ioniq","västragötaland",599900
"136","800","2023","suv","2","325","gul","hyundai","ioniq","blekinge",639800
"137","600","2023","halvkombi","4","325","grå","hyundai","ioniq","kronoberg",599900
"138","850","2023","sedan","4","325","blå","hyundai","ioniq","blekinge",599900
"139","3000","2020","halvkombi","2","120","vit","hyundai","ioniq","skåne",229900
"140","3683","2022","suv","4","300","mörkgrå","volkswagen","id4","stockholm",457900
"141","4423","2021","suv","2","204","vit","volkswagen","id4","stockholm",390900
"142","2350","2021","suv","2","204","mörkgrå","volkswagen","id4","skåne",449900
"143","2207","2022","suv","4","300","mörkgrå","volkswagen","id4","stockholm",494900
"144","2789","2016","halvkombi","2","82","vit","volkswagen","eup","västerbotten",129900
"145","7700","2015","halvkombi","2","82","silver","volkswagen","eup","västragötaland",89000
"146","4478","2020","halvkombi","2","83","gul","volkswagen","eup","stockholm",153900
"147","9471","2020","halvkombi","2","83","vit","volkswagen","eup","stockholm",144900
"148","3438","2022","suv","4","300","vit","volkswagen","id4","stockholm",449900
"149","3820","2020","halvkombi","2","204","vit","volkswagen","id3","stockholm",304900
"150","2143","2022","suv","4","300","vit","volkswagen","id4","stockholm",455900
"151","3253","2021","halvkombi","2","204","mörkgrå","volkswagen","id3","stockholm",278900
"152","5500","2021","halvkombi","2","204","mörkgrå","volkswagen","id3","stockholm",351900
"153","4969","2021","suv","2","204","mörkgrå","volkswagen","id4","stockholm",379900
"154","4431","2021","suv","2","170","grå","volkswagen","id4","stockholm",324900
"155","4979","2021","suv","2","204","blå","volkswagen","id4","stockholm",390900
"156","2967","2022","suv","4","300","silver","volkswagen","id5","stockholm",458900
"157","4878","2018","halvkombi","2","136","vit","volkswagen","egolf","stockholm",189900
"158","2969","2021","suv","2","170","grå","volkswagen","id4","stockholm",339900
"159","5659","2021","suv","2","204","blå","volkswagen","id4","stockholm",368900
"160","4388","2020","halvkombi","2","136","vit","volkswagen","egolf","stockholm",211900
"161","2226","2020","halvkombi","2","83","vit","volkswagen","eup","västragötaland",140000
"162","1700","2020","halvkombi","2","83","vit","volkswagen","eup","blekinge",189900
"163","2008","2020","halvkombi","2","83","vit","volkswagen","eup","blekinge",179900
"164","6231","2021","suv","2","204","vit","volkswagen","id4","stockholm",407900
"165","5800","2018","halvkombi","2","136","svart","volkswagen","egolf","västmanland",209900
"166","8200","2014","halvkombi","2","82","silver","volkswagen","eup","stockholm",119900
"167","6200","2017","halvkombi","2","82","vit","volkswagen","eup","blekinge",139000
"168","11865","2019","halvkombi","2","136","vit","volkswagen","egolf","norrbotten",199900
"169","5211","2018","halvkombi","2","136","vit","volkswagen","egolf","västragötaland",179800
"170","6624","2019","halvkombi","2","136","vit","volkswagen","egolf","västragötaland",184800
"171","5329","2018","halvkombi","2","136","vit","volkswagen","egolf","västragötaland",189900
"172","4491","2022","suv","2","204","mörkgrå","volkswagen","id4","stockholm",449900
"173","2923","2020","halvkombi","2","136","vit","volkswagen","egolf","västerbotten",239000
"174","4315","2020","halvkombi","2","83","silver","volkswagen","eup","dalarna",169900
"175","9082","2021","halvkombi","2","204","grå","volkswagen","id3","västmanland",239000
"176","10135","2021","suv","2","204","blå","volkswagen","id4","värmland",329500
"177","2787","2021","halvkombi","2","204","grå","volkswagen","id3","södermanland",274800
"178","1700","2023","suv","2","204","grå","volkswagen","id4","älvsborg",419900
"179","5843","2020","halvkombi","2","207","röd","volkswagen","id3","stockholm",388800
"180","3000","2021","halvkombi","2","204","vit","volkswagen","id3","södermanland",307000
"181","1560","2023","suv","2","207","blå","volkswagen","id4","västragötaland",439900
"182","4530","2021","suv","2","204","gul","volkswagen","id4","stockholm",378900
"183","5400","2022","suv","4","300","blå","volkswagen","id4","norrbotten",549900
"184","1500","2023","suv","4","300","svart","volkswagen","id4","södermanland",549000
"185","1740","2022","suv","4","300","grå","volkswagen","id4","södermanland",467500
"186","2940","2022","suv","4","300","vit","volkswagen","id4","uppsala",484900
"187","1045","2023","suv","4","304","svart","volkswagen","id4","västragötaland",549900
"188","3229","2022","sedan","4","498","vit","tesla","3","stockholm",484900
"189","2723","2021","sedan","4","441","svart","tesla","3","stockholm",434900
"190","10500","2019","suv","4","423","grå","tesla","x","skåne",549900
"191","6315","2021","sedan","4","446","grå","tesla","3","skaraborg",438400
"192","5902","2021","sedan","4","441","vit","tesla","3","norrbotten",448500
"193","8183","2020","sedan","4","491","vit","tesla","3","stockholm",365900
"194","7234","2021","sedan","4","441","vit","tesla","3","västmanland",399800
"195","5200","2022","sedan","4","498","blå","tesla","3","kalmar",459700
"196","3899","2020","sedan","4","510","vit","tesla","3","skåne",410900
"197","5620","2021","sedan","4","513","grå","tesla","3","stockholm",428900
"198","7308","2019","sedan","4","476","röd","tesla","3","stockholm",344900
"199","8589","2021","sedan","4","441","vit","tesla","3","stockholm",374800
"200","5321","2021","sedan","4","498","vit","tesla","3","stockholm",406900
"201","11524","2015","halvkombi","4","423","röd","tesla","s","västragötaland",318900
"202","17069","2019","halvkombi","4","762","grå","tesla","s","västragötaland",5e+05
"203","16454","2015","sedan","4","334","vit","tesla","s","västragötaland",259900
"204","10823","2016","halvkombi","4","423","svart","tesla","s","västragötaland",439900
"205","15949","2016","suv","4","540","vit","tesla","x","västragötaland",459900
"206","15288","2015","halvkombi","4","334","svart","tesla","s","västragötaland",269900
"207","2933","2020","sedan","4","441","svart","tesla","3","halland",409900
"208","2499","2021","sedan","4","330","vit","tesla","3","skaraborg",387800
"209","15024","2015","halvkombi","4","512","grå","tesla","s","skaraborg",375000
"210","7710","2019","sedan","4","463","blå","tesla","3","skaraborg",349900
"211","5718","2021","sedan","4","513","vit","tesla","3","skåne",499900
"212","8898","2017","suv","4","423","vit","tesla","x","skåne",499900
"213","13400","2016","halvkombi","4","320","vit","tesla","s","skåne",319900
"214","1000","2022","suv","4","346","grå","tesla","y","skåne",509900
"215","7995","2020","halvkombi","4","512","grå","tesla","s","skåne",579900
"216","9997","2020","sedan","4","441","vit","tesla","3","skåne",349900
"217","6998","2020","halvkombi","4","815","vit","tesla","s","skåne",899900
"218","8998","2017","suv","4","525","grå","tesla","x","skåne",699900
"219","3798","2019","halvkombi","4","772","svart","tesla","s","skåne",849900
"220","3298","2020","sedan","4","513","vit","tesla","3","skåne",519900
"221","13100","2018","halvkombi","4","334","vit","tesla","s","södermanland",390000
"222","9198","2020","sedan","4","259","röd","tesla","3","södermanland",319900
"223","6906","2018","halvkombi","4","525","svart","tesla","s","uppsala",399900
"224","3163","2022","suv","4","346","vit","tesla","y","uppsala",589700
"225","1600","2023","suv","4","300","vit","tesla","y","västmanland",506000
"226","5800","2022","sedan","4","513","vit","tesla","3","västmanland",469000
"227","3451","2021","sedan","4","325","vit","tesla","3","stockholm",362900
"228","5866","2021","sedan","4","498","vit","tesla","3","stockholm",402900
"229","5045","2021","suv","4","514","blå","tesla","y","stockholm",489900
"230","2357","2021","suv","4","514","vit","tesla","y","stockholm",491900
"231","7740","2021","suv","4","346","vit","tesla","y","stockholm",483900
